bahasa_jawa,bahasa_indonesia,ipa,ips,bahasa_jawa_binned,bahasa_indonesia_binned,ipa_binned,ips_binned
73,92,78,82,Tinggi,Sangat Tinggi,Tinggi,Tinggi
64,80,72,84,Sedang,Sangat Tinggi,Tinggi,Sangat Tinggi
80,86,84,88,Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
50,78,56,52,Rendah,Tinggi,Sedang,Rendah
80,76,80,76,Tinggi,Tinggi,Tinggi,Tinggi
60,66,34,60,Sedang,Tinggi,Rendah,Rendah
65,48,60,70,Sedang,Sedang,Sedang,Sedang
67,74,70,66,Sedang,Tinggi,Tinggi,Sedang
81,82,74,80,Tinggi,Sangat Tinggi,Tinggi,Tinggi
64,80,70,72,Sedang,Sangat Tinggi,Tinggi,Sedang
50,88,62,72,Rendah,Sangat Tinggi,Sedang,Sedang
63,72,56,64,Sedang,Tinggi,Sedang,Sedang
85,96,82,80,Tinggi,Sangat Tinggi,Tinggi,Tinggi
60,62,50,44,Sedang,Tinggi,Sedang,Sangat Rendah
87,96,88,92,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
83,90,70,92,Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
70,70,62,66,Sedang,Tinggi,Sedang,Sedang
73,76,70,66,Tinggi,Tinggi,Tinggi,Sedang
60,84,80,62,Sedang,Sangat Tinggi,Tinggi,Rendah
80,80,66,80,Tinggi,Sangat Tinggi,Tinggi,Tinggi
60,56,60,64,Sedang,Sedang,Sedang,Sedang
75,84,70,66,Tinggi,Sangat Tinggi,Tinggi,Sedang
63,72,70,62,Sedang,Tinggi,Tinggi,Rendah
80,72,64,70,Tinggi,Tinggi,Sedang,Sedang
70,70,52,62,Sedang,Tinggi,Sedang,Rendah
61,80,70,76,Sedang,Sangat Tinggi,Tinggi,Tinggi
71,78,70,72,Tinggi,Tinggi,Tinggi,Sedang
63,80,56,88,Sedang,Sangat Tinggi,Sedang,Sangat Tinggi
88,82,97,79,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
85,76,10,81,Tinggi,Tinggi,Sangat Rendah,Tinggi
87,84,10,86,Sangat Tinggi,Sangat Tinggi,Sangat Rendah,Sangat Tinggi
90,84,93,89,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
87,72,91,77,Sangat Tinggi,Tinggi,Sangat Tinggi,Tinggi
92,60,97,89,Sangat Tinggi,Tinggi,Sangat Tinggi,Sangat Tinggi
93,86,99,81,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
88,75,96,83,Sangat Tinggi,Tinggi,Sangat Tinggi,Tinggi
