bahasa_jawa,bahasa_indonesia,ipa,ips,bahasa_jawa_cluster,bahasa_indonesia_cluster,ipa_cluster,ips_cluster
72,88,68,66,1,1,0,0
64,85,86,68,0,1,1,0
73,88,84,78,1,1,1,1
91,90,90,69,2,1,1,0
69,90,80,83,1,1,1,1
74,85,70,67,1,1,0,0
91,85,82,78,2,1,1,1
91,92,88,68,2,1,1,0
84,90,88,79,2,1,1,1
82,79,88,65,2,1,1,0
97,95,90,76,2,1,1,1
90,90,86,67,2,1,1,0
85,87,78,81,2,1,1,1
82,90,84,85,2,1,1,1
88,90,84,63,2,1,1,0
94,93,84,74,2,1,1,0
82,90,76,67,2,1,1,0
60,75,64,64,0,0,0,0
62,77,60,65,0,0,0,0
83,82,88,83,2,1,1,1
87,80,92,82,2,1,1,1
68,68,76,53,1,0,1,2
70,80,72,67,1,1,0,0
80,67,78,58,1,0,1,2
84,80,88,92,2,1,1,1
67,64,70,54,1,0,0,2
65,71,72,65,0,0,0,0
70,74,84,80,1,0,1,1
61,74,70,54,0,0,0,2
78,82,76,65,1,1,1,0
86,85,94,88,2,1,1,1
69,80,78,67,1,1,1,0
61,72,86,79,0,0,1,1
63,71,86,65,0,0,1,0
76,57,78,78,1,2,1,1
87,84,90,82,2,1,1,1
79,86,84,80,1,1,1,1
71,74,70,62,1,0,0,0
79,77,84,80,1,0,1,1
60,61,74,60,0,0,0,0
73,86,84,80,1,1,1,1
81,75,78,83,1,0,1,1
76,66,66,52,1,0,0,2
66,72,72,70,0,0,0,0
81,82,82,70,1,1,1,0
80,82,96,83,1,1,1,1
77,72,86,70,1,0,1,0
76,71,90,76,1,0,1,1
72,69,78,66,1,0,1,0
68,74,78,80,1,0,1,1
62,64,82,73,0,0,1,0
72,62,74,66,1,0,0,0
78,83,90,86,1,1,1,1
60,65,78,57,0,0,1,2
78,74,84,76,1,0,1,1
64,71,82,61,0,0,1,0
80,84,88,84,1,1,1,1
73,81,86,79,1,1,1,1
70,68,82,73,1,0,1,0
68,70,80,73,1,0,1,0
76,86,86,76,1,1,1,1
73,83,80,73,1,1,1,0
74,78,80,83,1,0,1,1
56,50,78,41,0,2,1,2
69,73,74,71,1,0,0,0
84,76,86,77,2,0,1,1
76,88,100,86,1,1,1,1
77,82,80,74,1,1,1,0
67,71,82,67,1,0,1,0
86,86,92,89,2,1,1,1
60,66,64,63,0,0,0,0
79,85,92,80,1,1,1,1
89,90,88,87,2,1,1,1
94,84,80,80,2,1,1,1
89,96,88,93,2,1,1,1
94,84,63,85,2,1,0,1
89,66,40,62,2,0,2,0
97,86,68,79,2,1,0,1
91,84,70,83,2,1,0,1
88,82,60,78,2,1,0,1
89,72,78,85,2,0,1,1
92,82,65,92,2,1,0,1
85,82,55,62,2,1,0,0
92,84,78,82,2,1,1,1
85,74,60,77,2,0,0,1
85,72,65,73,2,0,0,0
92,84,75,92,2,1,0,1
88,86,75,94,2,1,0,1
95,86,78,91,2,1,1,1
94,82,78,85,2,1,1,1
92,76,65,78,2,0,0,1
98,80,63,78,2,1,0,1
97,84,65,83,2,1,0,1
94,86,73,90,2,1,0,1
92,92,68,88,2,1,0,1
86,82,70,82,2,1,0,1
86,78,55,85,2,0,0,1
100,86,73,88,2,1,0,1
94,84,68,78,2,1,0,1
95,84,65,82,2,1,0,1
